date,SearchFrequency,DJI,price_btc,price_eth
2017-11-16,55,23458.359375,7871.69,330.92
2017-11-17,75,23358.240234,7708.99,332.39
2017-11-18,103,23358.240234,7790.15,347.61
2017-11-19,65,23358.240234,8036.49,354.39
2017-11-20,96,23430.330078,8200.64,366.73
2017-11-21,118,23590.830078,8071.26,360.4
2017-11-22,100,23526.179688,8253.55,380.65
2017-11-23,98,23526.179688,8038.77,410.17
2017-11-24,89,23557.990234,8253.69,474.91
2017-11-25,104,23557.990234,8790.92,466.28
2017-11-26,117,23557.990234,9330.55,471.33
2017-11-27,145,23580.779297,9818.35,480.36
2017-11-28,181,23836.710938,10058.8,472.9
2017-11-29,192,23940.679688,9888.61,427.52
2017-11-30,200,24272.349609,10233.6,447.11
2017-12-01,138,24231.589844,10975.6,466.54
2017-12-02,116,24231.589844,11074.6,463.45
2017-12-03,101,24231.589844,11323.2,465.85
2017-12-04,151,24290.050781,11657.2,470.2
2017-12-05,132,24180.640625,11916.7,463.28
2017-12-06,159,24140.910156,14291.5,428.59
2017-12-07,266,24211.480469,17899.7,434.41
2017-12-08,229,24329.160156,16569.4,456.03
2017-12-09,185,24329.160156,15178.2,473.5
2017-12-10,136,24329.160156,15455.4,441.72
2017-12-11,229,24386.029297,16936.8,515.14
2017-12-12,250,24504.800781,17415.4,651.43
2017-12-13,245,24585.429688,16408.2,702.77
2017-12-14,239,24508.660156,16564.0,695.82
2017-12-15,191,24651.740234,17706.9,684.45
2017-12-16,135,24651.740234,19497.4,696.21
2017-12-17,165,24651.740234,19140.8,719.98
2017-12-18,235,24792.199219,19114.2,794.64
2017-12-19,270,24754.75,17776.7,826.82
2017-12-20,278,24726.650391,16624.6,819.09
2017-12-21,261,24782.289063,15802.9,821.06
2017-12-22,338,24754.060547,13831.8,674.86
2017-12-23,152,24754.060547,14699.2,719.39
2017-12-24,161,24754.060547,13925.8,694.15
2017-12-25,121,24754.060547,14026.6,765.83
2017-12-26,139,24746.210938,16099.8,773.84
2017-12-27,154,24774.300781,15838.5,762.84
2017-12-28,184,24837.509766,14606.5,737.02
2017-12-29,122,24719.220703,14656.2,753.59
2017-12-30,132,24719.220703,12952.2,717.26
2017-12-31,116,24719.220703,14156.4,756.73
2018-01-01,112,24719.220703,13657.2,772.64
2018-01-02,178,24824.009766,14982.1,884.44
2018-01-03,164,24922.679688,15201.0,962.72
2018-01-04,219,25075.130859,15599.2,980.92
2018-01-05,231,25295.869141,17429.5,997.72
2018-01-06,157,25295.869141,17527.0,1041.68
2018-01-07,153,25295.869141,16477.6,1153.17
2018-01-08,236,25283.0,15170.1,1148.53
2018-01-09,230,25385.800781,14595.4,1299.74
2018-01-10,257,25369.130859,14973.3,1255.82
2018-01-11,304,25574.730469,13405.8,1154.93
2018-01-12,204,25803.189453,13980.6,1273.2
2018-01-13,170,25803.189453,14360.2,1396.42
2018-01-14,122,25803.189453,13772.0,1366.77
2018-01-15,184,25803.189453,13819.8,1291.92
2018-01-16,273,25792.859375,11490.5,1053.69
2018-01-17,332,26115.650391,11188.6,1014.25
2018-01-18,216,26017.810547,11474.9,1036.28
2018-01-19,182,26071.720703,11607.4,1039.1
2018-01-20,150,26071.720703,12899.2,1155.15
2018-01-21,128,26071.720703,11600.1,1049.58
2018-01-22,151,26214.599609,10931.4,1003.26
2018-01-23,150,26210.810547,10868.4,986.23
2018-01-24,184,26252.119141,11359.4,1058.78
2018-01-25,147,26392.789063,11259.4,1056.03
2018-01-26,147,26616.710938,11171.4,1055.17
2018-01-27,80,26616.710938,11440.7,1107.07
2018-01-28,119,26616.710938,11786.3,1246.01
2018-01-29,118,26439.480469,11296.4,1182.36
2018-01-30,155,26076.890625,10106.3,1071.13
2018-01-31,141,26149.390625,10221.1,1118.31
2018-02-01,186,26186.710938,9170.54,1036.79
2018-02-02,228,25520.960938,8830.75,915.78
2018-02-03,124,25520.960938,9174.91,964.02
2018-02-04,101,25520.960938,8277.01,834.68
2018-02-05,187,24345.75,6955.27,697.95
2018-02-06,193,24912.769531,7754.0,793.12
2018-02-07,169,24893.349609,7621.3,757.07
2018-02-08,140,23860.460938,8265.59,817.81
2018-02-09,113,24190.900391,8736.98,883.87
2018-02-10,78,24190.900391,8621.9,860.41
2018-02-11,78,24190.900391,8129.97,814.66
2018-02-12,106,24601.269531,8926.57,868.71
2018-02-13,135,24640.449219,8598.31,845.26
2018-02-14,94,24893.490234,9494.63,923.56
2018-02-15,120,25200.369141,10166.4,936.98
2018-02-16,100,25219.380859,10233.9,944.21
2018-02-17,75,25219.380859,11112.7,974.12
2018-02-18,70,25219.380859,10551.8,923.92
2018-02-19,81,25219.380859,11225.3,943.87
2018-02-20,125,24964.75,11403.7,895.37
2018-02-21,113,24797.779297,10690.4,849.97
2018-02-22,113,24962.480469,10005.0,812.85
2018-02-23,87,25309.990234,10301.1,864.19
2018-02-24,68,25309.990234,9813.07,840.51
2018-02-25,50,25309.990234,9664.73,844.81
2018-02-26,101,25709.269531,10366.7,869.32
2018-02-27,91,25410.029297,10725.6,878.26
2018-02-28,96,25029.199219,10397.9,855.2
2018-03-01,81,24608.980469,10951.0,872.2
2018-03-02,113,24538.060547,11086.4,856.85
2018-03-03,70,24538.060547,11489.7,857.23
2018-03-04,66,24538.060547,11512.6,866.68
2018-03-05,76,24874.759766,11573.3,853.68
2018-03-06,80,24884.119141,10779.9,816.95
2018-03-07,76,24801.359375,9965.57,752.83
2018-03-08,78,24895.210938,9395.01,704.6
2018-03-09,103,25335.740234,9337.55,728.92
2018-03-10,49,25335.740234,8866.0,686.89
2018-03-11,44,25335.740234,9578.63,723.34
2018-03-12,109,25178.609375,9205.12,699.83
2018-03-13,81,25007.029297,9194.85,690.83
2018-03-14,75,24758.119141,8269.81,614.29
2018-03-15,81,24873.660156,8300.86,611.3
2018-03-16,73,24946.509766,8338.35,601.67
2018-03-17,59,24946.509766,7916.88,552.78
2018-03-18,70,24946.509766,8223.68,538.64
2018-03-19,80,24610.910156,8630.65,556.73
2018-03-20,89,24727.269531,8913.47,557.17
2018-03-21,82,24682.310547,8929.28,561.73
