date,SearchFrequency
2017-11-15,12
2017-11-16,15
2017-11-17,14
2017-11-18,11
2017-11-19,9
2017-11-20,15
2017-11-21,16
2017-11-22,13
2017-11-23,12
2017-11-24,11
2017-11-25,11
2017-11-26,17
2017-11-27,27
2017-11-28,29
2017-11-29,51
2017-11-30,44
2017-12-01,30
2017-12-02,21
2017-12-03,20
2017-12-04,29
2017-12-05,26
2017-12-06,35
2017-12-07,71
2017-12-08,60
2017-12-09,40
2017-12-10,38
2017-12-11,49
2017-12-12,43
2017-12-13,38
2017-12-14,34
2017-12-15,29
2017-12-16,29
2017-12-17,30
2017-12-18,38
2017-12-19,41
2017-12-20,52
2017-12-21,45
2017-12-22,100
2017-12-23,47
2017-12-24,37
2017-12-25,31
2017-12-26,32
2017-12-27,29
2017-12-28,33
2017-12-29,26
2017-12-30,25
2017-12-31,21
2018-01-01,18
2018-01-02,25
2018-01-03,27
2018-01-04,25
2018-01-05,23
2018-01-06,18
2018-01-07,16
2018-01-08,24
2018-01-09,23
2018-01-10,26
2018-01-11,31
2018-01-12,23
2018-01-13,18
2018-01-14,17
2018-01-15,20
2018-01-16,52
2018-01-17,63
2018-01-18,39
2018-01-19,27
2018-01-20,20
2018-01-21,22
2018-01-22,28
2018-01-23,28
2018-01-24,22
2018-01-25,19
2018-01-26,22
2018-01-27,15
2018-01-28,14
2018-01-29,17
2018-01-30,24
2018-01-31,26
2018-02-01,33
2018-02-02,47
2018-02-03,25
2018-02-04,22
2018-02-05,49
2018-02-06,63
2018-02-07,37
2018-02-08,29
2018-02-09,26
2018-02-10,17
2018-02-11,15
2018-02-12,19
2018-02-13,17
2018-02-14,18
2018-02-15,19
2018-02-16,16
2018-02-17,13
2018-02-18,13
2018-02-19,14
2018-02-20,17
2018-02-21,19
2018-02-22,18
2018-02-23,13
2018-02-24,11
2018-02-25,8
2018-02-26,13
2018-02-27,12
2018-02-28,12
2018-03-01,11
2018-03-02,12
2018-03-03,9
2018-03-04,8
2018-03-05,10
2018-03-06,11
2018-03-07,14
2018-03-08,13
2018-03-09,18
2018-03-10,9
2018-03-11,9
2018-03-12,11
2018-03-13,11
2018-03-14,14
2018-03-15,17
2018-03-16,12
2018-03-17,11
2018-03-18,15
2018-03-19,15
2018-03-20,13
2018-03-21,13
